lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Lot 4,"250 Rutherford Ave Boston, MA 02129, US ",1 Hour:  Free; ,Mon-Sun:  6am-11pm,$0.00,https://www.parkme.com/lot/333626
 50 Cambridge St Parking,"43 Spice St Boston, MA 02129, US ",Max: 6am-6pm $6; Max: 6pm-6am $6; ,Mon-Fri:  6am-6pm,$6.00,https://www.parkme.com/lot/24090
 Sullivan Square,"5 Maffa Way Boston, MA 02129, US ",Mon-Fri: 6am-1pm $8; Max: Mon-Fri; In After 1pm $6; Max: Sat-Sun $6; ,Monthly:  $160-$190,$6.00,https://www.parkme.com/lot/115641
 Sullivan Square,"649 Main St Boston, MA 02129, US ",Mon-Fri: 6am-1pm $8; Max: Mon-Fri; In After 1pm $6; Sat-Sun:  $6; ,Monthly:  $160-$190,$6.00,https://www.parkme.com/lot/188932
 Building 199 Garage,"199 5th Ave Boston, MA 02129, US ",1 Hour: Mon-Fri; 6am-5pm $10; 2 Hours: Mon-Fri; 6am-5pm $15; 4 Hours: Mon-Fri; 6am-5pm $20; 24 Hours: Mon-Fri; 6am-5pm $28; Max: Mon-Fri; In After 5pm Free; Sat-Sun:  Free; ,Mon-Sun:  6am-10pm,$10.00,https://www.parkme.com/lot/26788
 Flagship Wharf,"197 8th St Boston, MA 02129, US ",2 Hours:  $10; 4 Hours:  $15; 6 Hours:  $18; Daily Max:  $20-$24; Evening: In After 6pm / Out By 8am $15; ,Mon-Sun:  24 Hours,$10.00,https://www.parkme.com/lot/189316
 Constitution Wharf,"1 Constitution Rd Boston, MA 02129, US ",30 Min: Mon-Fri $6; 1 Hour: Mon-Fri $11; 1.5 Hours: Mon-Fri $17; 8 Hours: Mon-Fri $23; 12 Hours:  $25; 24 Hours:  $30; 30 Min: In After 5pm / Out By 7am $6; 1 Hour: In After 5pm / Out By 7am $12; 1.5 Hours: In After 5pm / Out By 7am $17; 1 Hour: Sat-Sun $10; 2 Hours: Sat-Sun $20; ,Monthly:  $75-$315,$11.00,https://www.parkme.com/lot/188543
 Nautica,"88 Constitution Rd Boston, MA 02129, US ",30 Min:  $6; 1 Hour:  $12; 1.5 Hours:  $17; 2 Hours: With Validation $5.50-$11; 4 Hours: With Validation $7.50-$15; 12 Hours:  $22; 24 Hours:  $28; Max: In After 5pm / Out By 7am $15; Event:  $15; ,Monthly:  $250,$12.00,https://www.parkme.com/lot/213621/nautica-boston-ma?entry-date=2022-01-24T13:33&duration=60
 North End,"600 Commercial St Boston, MA 02109, US ",30 Min:  $9; 1 Hour:  $15; 1.5 Hours:  $19; 2 Hours:  $23; 10 Hours:  $27; 24 Hours:  $37; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $22; Evening: Sun-Wed; In After 5pm / Out By 5am $19; Evening: Thu-Sat; In After 5pm / Out By 5am $25; Event:  $44; ,Monthly:  $370,$15.00,https://www.parkme.com/lot/15223/north-end-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
 588 Commercial St Parking,"588 Commercial St Boston, MA 02109, US ",30 Min:  $9; 1 Hour:  $15; 2 Hours:  $23; 10 Hours:  $28; 24 Hours:  $36; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $22; 10 Hours: Sun-Thu; In After 4pm / Out By 4am $18; 10 Hours: Fri-Sat; In After 4pm / Out By 4am $23; ,Mon-Sun:  24 Hours,$15.00,https://www.parkme.com/lot/24122/588-commercial-st?entry-date=2022-01-24T13:33&duration=60
