lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 413 Massachusetts Ave Parking,"585 Columbus Ave Boston, MA 02118, US ",,Monthly:  $175,$175.00,https://www.parkme.com/lot/117210
 Nautica,"88 Constitution Rd Boston, MA 02129, US ",30 Min:  $6; 1 Hour:  $12; 1.5 Hours:  $17; 2 Hours: With Validation $5.50-$11; 4 Hours: With Validation $7.50-$15; 12 Hours:  $22; 24 Hours:  $28; Max: In After 5pm / Out By 7am $15; Event:  $15; ,Monthly:  $250,$250.00,https://www.parkme.com/lot/213621
 Greenhouse Apartments,"2 Cumberland St Boston, MA 02115, US ",1 Hour:  $8; 3 Hours:  $15; 10 Hours:  $22; 24 Hours:  $26; ,Monthly:  $260,$260.00,https://www.parkme.com/lot/52855
 D Lot,"68 Butler St Boston, MA 02210, US ",1 Hour:  $12; 2 Hours:  $18; 3 Hours:  $20; Max: Out By 7am $25; Evening: In After 7pm / Out By 7am $15; ,Monthly:  $200-$295,$295.00,https://www.parkme.com/lot/213569
 277 Northampton St Garage,"277 Northampton St Boston, MA 02118, US ",Max: 6am-6pm $15; Evening: In After 6pm $15; Event:  $15; ,Monthly:  $300,$300.00,https://www.parkme.com/lot/15328
 Constitution Wharf,"1 Constitution Rd Boston, MA 02129, US ",30 Min: Mon-Fri $6; 1 Hour: Mon-Fri $11; 1.5 Hours: Mon-Fri $17; 8 Hours: Mon-Fri $23; 12 Hours:  $25; 24 Hours:  $30; 30 Min: In After 5pm / Out By 7am $6; 1 Hour: In After 5pm / Out By 7am $12; 1.5 Hours: In After 5pm / Out By 7am $17; 1 Hour: Sat-Sun $10; 2 Hours: Sat-Sun $20; ,Monthly:  $75-$315,$315.00,https://www.parkme.com/lot/188543
 40 Beach St Garage,"40 Beach St Boston, MA 02111, US ",30 Min:  $5; 1 Hour:  $12; 1.5 Hours:  $18; 2 Hours:  $22; 12 Hours:  $24; 24 Hours:  $27; Early Bird: Mon-Fri; In Between 4am-9:30am / Out By 6pm $17; Evening: Mon-Thu; In After 5pm / Out By 5am $13; Evening: Fri; In After 5pm / Out By 5am $14; 12 Hours: Sat-Sun $14; 24 Hours: Sat-Sun $19; ,Monthly:  $165-$335,$335.00,https://www.parkme.com/lot/75578
 Kendall SQ Garage,"300 Kendall St Cambridge, MA 02142, US ",30 Min:  $11; 1 Hour:  $16; 1.5 Hours:  $23; 3 Hours:  $33; 10 Hours:  $39; 24 Hours:  $42; Sat-Sun: Out By 6am $12; Early Bird: Mon-Fri; In By 9am / Out By 6pm $24; Evening: Mon-Fri; In After 4pm / Out By 6am $10; Each Hour: Mon-Fri; In After 4pm / Out By 6am; 3 Hour Max; With Validation $2; Each Hour: Sat-Sun; Out By 6am; 3 Hour Max; With Validation $2; ,Monthly:  $340,$340.00,https://www.parkme.com/lot/32217
 The Westland Avenue Garage,"35 Westland Ave Boston, MA 02115, US ",30 Min:  $8; 1 Hour:  $12; 1.5 Hours:  $18; 10 Hours:  $30; 12 Hours:  $33; 14 Hours:  $35; 24 Hours:  $38; Early Bird: Mon-Fri; In By 9am / Out By 6pm $25; Event: 10 Hours $30; ,Monthly:  $345,$345.00,https://www.parkme.com/lot/26840
 200 Newbury Street,"109-127 Arlington St Boston, MA 02116, US ",30 Min:  $7; 1 Hour:  $14; 10 Hours:  $21; 24 Hours:  $38; Evening: In After 5pm; 10 Hours $15; 10 Hours: Sat-Sun $15; ,Monthly:  $350,$350.00,https://www.parkme.com/lot/80332
