lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
 Green St Parking,"420 Amory St Boston, MA 02130, US ",,Monthly:  $80,$80.00,https://www.parkme.com/lot/24384
 Hope Central Church,"20 Elm St Boston, MA 02130, US ",,Monthly:  $105-$170,$170.00,https://www.parkme.com/lot/371059
 Crosstown Center,"46 Northampton St Boston, MA 02119, US ",Each Hour:  $4; 5 Hours:  $20; 12 Hours:  $24; 24 Hours:  $30; Max: With Validation $25; ,Monthly:  $50-$285,$285.00,https://www.parkme.com/lot/94625
 36 Wait St Parking,"36 Wait St Boston, MA 02120, US ",,Monthly:  $350,$350.00,https://www.parkme.com/lot/331435
 79 Chestnut St Parking,"79 Chestnut St Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/331169
 49 Boylston St Parking,"49 Boylston St Brookline, MA 02445, US ",,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/337518
 29 Hancock Street Quincy Parking,"29 Hancock Street Quincy Quincy, MA 02171, US ",,,—,https://www.parkme.com/lot/373647
 29 Hancock Street Quincy Parking,"29 Hancock Street Quincy Quincy, MA 02171, US ",,,—,https://www.parkme.com/lot/373648
 29 Hancock Street Quincy Parking,"29 Hancock Street Quincy Quincy, MA 02171, US ",,,—,https://www.parkme.com/lot/373649
 Church in Boston,"156 E Cottage St Boston, MA 02125, US ",Visitors Only:  Free; ,,—,https://www.parkme.com/lot/26995
 Longwood Plastic Surgery,"235 Cypress St Brookline, MA 02445, US ",Visitors Only:  Free; ,Mon-Fri:  8:30am-5pm,—,https://www.parkme.com/lot/213541
 Father Jack Roussin Community Center,"3134 Washington St Boston, MA 02130, US ",Visitors Only:  Free; ,Mon-Sun:  24 Hours,—,https://www.parkme.com/lot/213651
