id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,Weighted_Average_MR_2010,Weighted_Average_DR_2010,Weighted_Average_HR_2010
4398,1,0,I,MIDDLEBOROUGH,MA,"MIDDLEBOROUGH,MA",SRPEDD,0,,22284.4633478,20167447.5608,132.109990188785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2571,2,1,I,BRIDGEWATER,MA,"BRIDGEWATER,MA",OCPC,0,,18241.6972755,9283491.95519,128.41743487136574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2669,3,2,I,HALIFAX,MA,"HALIFAX,MA",OCPC,0,,17900.6747587,16058291.6215,124.51211665994342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4392,4,3,I,MIDDLEBOROUGH,MA,"MIDDLEBOROUGH,MA",SRPEDD,0,,23735.0989517,19921323.1981,131.38622137012044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2641,5,49,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,19458.1119218,4236087.84222,147.56012635187273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2643,6,50,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,18394.7395277,7058618.08012,153.93115137425923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2666,7,51,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0,,63168.9615404,6570340.97055,152.3345453419744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2665,8,52,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0,,14260.8305578,4534400.79813,152.71079090481032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2675,9,53,I,KINGSTON,MA,"KINGSTON,MA",OCPC,0,,9247.4840928,2594486.12923,148.45333268737238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,10,1804,I,NEWBURY,MA,"NEWBURY,MA",MVPC,0,,30299.4979539,5686829.20083,196.6960555403063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
