,IN_SingleL,geometry,USER_month,USER_lot_u,IN_SingleLine,USER_lot_url,MR,DR,HR,MR_to_DR,Est_MR,MR_wEst,HR_to_MR,Est_HR,HR_wEst,DR_to_HR,Est_DR,DR_wEst,Est_MR_2,MR_wEst2,Est_HR_2,HR_wEst2,Est_DR_2,DR_wEst2
0,"208 Friend St Boston, MA 02114, US",POINT (236180.2535999385 901600.4967003474),Mon-Fri:  6am-12am,https://www.parkme.com/lot/15284,"208 Friend St Boston, MA 02114, US ",https://www.parkme.com/lot/15284,,25.0,10.0,,362.4122639149621,362.4122639149621,,,10.0,2.5,17.143336929456616,25.0,362.4122639149621,362.4122639149621,5.864164600252884,10.0,17.143336929456616,25.0
1,"21 Lancaster St Boston, MA 02114, US",POINT (236067.8795999391 901602.7245003507),Mon-Fri:  6am-12am,https://www.parkme.com/lot/15286,"21 Lancaster St Boston, MA 02114, US ",https://www.parkme.com/lot/15286,,25.0,10.0,,362.4122639149621,362.4122639149621,,,10.0,2.5,17.143336929456616,25.0,362.4122639149621,362.4122639149621,5.864164600252884,10.0,17.143336929456616,25.0
2,"28 Ash St Boston, MA 02111, US",POINT (235976.28959993646 899891.2736003492),Mon-Sun:  24 Hours,https://www.parkme.com/lot/32124,"28 Ash St Boston, MA 02111, US ",https://www.parkme.com/lot/32124,,23.0,10.0,,333.4192828017652,333.4192828017652,,,10.0,2.3,17.143336929456616,23.0,333.4192828017652,333.4192828017652,5.395031432232654,10.0,17.143336929456616,23.0
3,"33 Essex St Boston, MA 02111, US",POINT (236587.90019993583 900337.024400346),Mon-Fri:  6am-2am,https://www.parkme.com/lot/15268,"33 Essex St Boston, MA 02111, US ",https://www.parkme.com/lot/15268,,30.0,10.0,,434.8947166979546,434.8947166979546,,,10.0,3.0,17.143336929456616,30.0,434.8947166979546,434.8947166979546,7.036997520303462,10.0,17.143336929456616,30.0
4,"47 Lagrange St Boston, MA 02116, US",POINT (235915.02449993344 900228.0460003484),Mon-Sun:  24 Hours,https://www.parkme.com/lot/24171,"47 Lagrange St Boston, MA 02116, US ",https://www.parkme.com/lot/24171,,25.0,10.0,,362.4122639149621,362.4122639149621,,,10.0,2.5,17.143336929456616,25.0,362.4122639149621,362.4122639149621,5.864164600252884,10.0,17.143336929456616,25.0
5,"78 Harrison Ave Boston, MA 02111, US",POINT (236149.2682999336 900137.3681003451),Mon-Sun:  6am-12am,https://www.parkme.com/lot/32123,"78 Harrison Ave Boston, MA 02111, US ",https://www.parkme.com/lot/32123,,25.0,10.0,,362.4122639149621,362.4122639149621,,,10.0,2.5,17.143336929456616,25.0,362.4122639149621,362.4122639149621,5.864164600252884,10.0,17.143336929456616,25.0
6,"290 Commercial Street Boston, MA 02109, US",POINT (236946.1834999359 901670.8821003493),Mon-Sun:  24 Hours,https://www.parkme.com/lot/15225/290-commercial-street?entry-date=2022-01-24T13:33&duration=60,"290 Commercial Street Boston, MA 02109, US ",https://www.parkme.com/lot/15225/290-commercial-street?entry-date=2022-01-24T13:33&duration=60,,27.0,12.0,,391.40524502815913,391.40524502815913,,,12.0,2.25,20.57200431534794,27.0,391.40524502815913,391.40524502815913,6.333297768273115,12.0,20.57200431534794,27.0
7,"11 Stillings St Boston, MA 02210, US",POINT (237309.4191999386 900077.0170003502),Monthly:  $150-$480,https://www.parkme.com/lot/32201/stillings-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60,"11 Stillings St Boston, MA 02210, US ",https://www.parkme.com/lot/32201/stillings-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60,480.0,25.0,12.0,19.2,362.4122639149621,480.0,0.025,7.766842594437865,12.0,2.0833333333333335,20.57200431534794,25.0,362.4122639149621,480.0,7.766842594437865,12.0,20.57200431534794,25.0
8,"16 Charles St Boston, MA 02108, US",POINT (235569.76909993924 900514.7248003492),Monthly:  $150-$400,https://www.parkme.com/lot/32172,"16 Charles St Boston, MA 02108, US ",https://www.parkme.com/lot/32172,400.0,28.0,10.0,14.285714285714286,405.9017355847576,400.0,0.025,6.472368828698221,10.0,2.8,17.143336929456616,28.0,405.9017355847576,400.0,6.472368828698221,10.0,17.143336929456616,28.0
9,"40 Beach St Boston, MA 02111, US",POINT (236120.57189993907 900220.7607003441),Monthly:  $165-$335,https://www.parkme.com/lot/75578/40-beach-st?entry-date=2022-01-24T13:33&duration=60,"40 Beach St Boston, MA 02111, US ",https://www.parkme.com/lot/75578/40-beach-st?entry-date=2022-01-24T13:33&duration=60,335.0,28.0,12.0,11.964285714285714,405.9017355847576,335.0,0.03582089552238806,5.42060889403476,12.0,2.3333333333333335,20.57200431534794,28.0,405.9017355847576,335.0,5.42060889403476,12.0,20.57200431534794,28.0
