OID_,Loc_name,Status,Score,Match_type,Match_addr,Addr_type,IN_SingleLine,USER_Field1,USER_lot_name,USER_lot_address,USER_daily_rates,USER_monthly_rates,d_rate_simple,USER_lot_url,m_rate_simple,USER_rate_simple,Dupe,MR,DR,HR
1,MAD_ADDR_POST,M,100,A,"208 FRIEND STREET, Boston, MA, 02114",PointAddress,"208 Friend St Boston, MA 02114, US ",1, 208 Friend St Parking,"208 Friend St Boston, MA 02114, US ",Each 30 Min: 6am-6pm $5; Max: 6am-6pm $25; Evening: 6pm-12am $20; Sat-Sun:  $20; Event:  $40; ,Mon-Fri:  6am-12am,10,https://www.parkme.com/lot/15284,,,0,,25,10
2,MAD_ADDR_POST,M,100,A,"21 LANCASTER STREET, Boston, MA, 02114",PointAddress,"21 Lancaster St Boston, MA 02114, US ",2, 21 Lancaster St Parking,"21 Lancaster St Boston, MA 02114, US ",Each 30 Min: 6am-6pm $5; Max: 6am-6pm $25; Overnight: 6pm-6am $20; Sat-Sun:  $20; Event:  $40; ,Mon-Fri:  6am-12am,10,https://www.parkme.com/lot/15286,,,0,,25,10
4,MAD_ADDR_POST,M,100,A,"28 ASH STREET, Boston, MA, 02111",PointAddress,"28 Ash St Boston, MA 02111, US ",6, The Metropolitan,"28 Ash St Boston, MA 02111, US ",1 Hour:  $10; 2 Hours:  $15; 14 Hours:  $23; 24 Hours:  $32; 12 Hours: Sat-Sun $12; ,Mon-Sun:  24 Hours,10,https://www.parkme.com/lot/32124,,,0,,23,10
5,,M,100,PP,"x=236587.900197, y=900337.024443",,"33 Essex St Boston, MA 02111, US ",0, 33 Essex St Parking,"33 Essex St Boston, MA 02111, US ",Each 30 Min: 6am-6pm $5; Max: 6am-6pm $30; Mon-Sat: 6pm-6am $22; Sun: 6pm-6am Free; Event:  $22; ,Mon-Fri:  6am-2am,10,https://www.parkme.com/lot/15268,,,0,,30,10
6,,U,0,A,,,"47 Lagrange St Boston, MA 02116, US ",4, 47 Lagrange St Parking,"47 Lagrange St Boston, MA 02116, US ",30 Min:  $5; 1 Hour:  $10; 1.5 Hours:  $15; 2 Hours:  $20; Daily Max:  $25; Early Bird: Mon-Fri; In By 9am / Out By 7pm $17; Evening: Mon-Fri; 4pm-6am $25; Sat-Sun:  $25; Oversize:  $30; ,Mon-Sun:  24 Hours,10,https://www.parkme.com/lot/24171,,,0,,25,10
7,,U,0,A,,,"78 Harrison Ave Boston, MA 02111, US ",5, 78 Harrison Ave Parking,"78 Harrison Ave Boston, MA 02111, US ",Each 30 Min: 6am-6pm $5; Max: 6am-6pm $30; Each 30 Min: 6pm-6am $5; Max: 6pm-6am $25; Event:  $8; ,Mon-Sun:  6am-12am,10,https://www.parkme.com/lot/32123,,,0,,25,10
8,MAD_ADDR_POST,M,100,A,"290 COMMERCIAL STREET, Boston, MA, 02109",PointAddress,"290 Commercial Street Boston, MA 02109, US ",10, 290 Commercial Street Parking,"290 Commercial Street Boston, MA 02109, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $17; 12 Hours:  $22; Daily Max:  $27; Early Bird: In Between 5am-9am / Out By 7pm $18; Evening: Mon-Thu; In After 4pm / Out By 5am $16; Evening: Fri; In After 4pm / Out By 5am $20; Evening: Sat; In After 4pm / Out By 5am $22; Evening: Sun; In After 4pm / Out By 5am $20; ,Mon-Sun:  24 Hours,12,https://www.parkme.com/lot/15225/290-commercial-street?entry-date=2022-01-24T13:33&duration=60,,,0,,27,12
9,MAD_ADDR_POST,M,100,A,"11 STILLINGS STREET, Boston, MA, 02210",PointAddress,"11 Stillings St Boston, MA 02210, US ",12, Stillings Garage,"11 Stillings St Boston, MA 02210, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $17; Daily Max:  $25; Early Bird: In By 8am / Out By 6pm $20; Evening: Mon-Fri; In After 5pm $10; Sat-Sun:  $16; Max: With Validation $23; ,Monthly:  $150-$480,12,https://www.parkme.com/lot/32201/stillings-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60,,,0,480,25,12
10,,U,0,A,,,"16 Charles St Boston, MA 02108, US ",7, Boston Common,"16 Charles St Boston, MA 02108, US ",1 Hour: Mon-Fri; In Between 6am-4pm $10; 2 Hours: Mon-Fri; In Between 6am-4pm $18; 3 Hours: Mon-Fri; In Between 6am-4pm $24; 10 Hours: Mon-Fri; In Between 6am-4pm $28; 24 Hours: Mon-Fri; In Between 6am-4pm $32; 1 Hour: Mon-Fri; In Between 4pm-6am / Out By 8am $10; 3 Hours: Mon-Fri; In Between 4pm-6am / Out By 8am $14; Max: Mon-Fri; In Between 4pm-6am / Out By 8am $18; 1 Hour: Sat-Sun $10; 3 Hours: Sat-Sun $14; Max: Sat-Sun $18; Max: With Validation $16; ,Monthly:  $150-$400,10,https://www.parkme.com/lot/32172,,,0,400,28,10
11,MAD_ADDR_POST,M,100,A,"40 BEACH STREET, Boston, MA, 02111",PointAddress,"40 Beach St Boston, MA 02111, US ",14, 40 Beach St Garage,"40 Beach St Boston, MA 02111, US ",30 Min:  $5; 1 Hour:  $12; 1.5 Hours:  $18; 2 Hours:  $22; 12 Hours:  $24; 24 Hours:  $27; Early Bird: Mon-Fri; In Between 4am-9:30am / Out By 6pm $17; Evening: Mon-Thu; In After 5pm / Out By 5am $13; Evening: Fri; In After 5pm / Out By 5am $14; 12 Hours: Sat-Sun $14; 24 Hours: Sat-Sun $19; ,Monthly:  $165-$335,12,https://www.parkme.com/lot/75578/40-beach-st?entry-date=2022-01-24T13:33&duration=60,,,0,335,28,12
