,IN_SingleL,geometry,USER_month,USER_lot_u,IN_SingleLine,USER_lot_url,MR,DR,HR,index_right,attr_dist,id,town,at_3level,Monthly_to_Daily,Est_Monthly,Monthly_Rate_wEst,Daily_to_Hourly,Est_Daily,Daily_Rate_wEst,Monthly_to_Hourly,Est_Hourly,Hourly_Rate_wEst,Est_Monthly2,Monthly_Rate_wEst2,Est_Daily2,Daily_Rate_wEst2,Est_Hourly2,Hourly_Rate_wEst2
0,"208 Friend St Boston, MA 02114, US",POINT (-71.06078043639913 42.3640667052775),Mon-Fri:  6am-12am,https://www.parkme.com/lot/15284,"208 Friend St Boston, MA 02114, US ",https://www.parkme.com/lot/15284,,25.0,10.0,80.0,"West End, Dense",24.0,BOSTON,Dense,,373.56341049696096,373.56341049696096,2.5,29.33415430151465,25.0,,,10.0,373.56341049696096,373.56341049696096,29.33415430151465,25.0,11.702352327090159,10.0
1,"21 Lancaster St Boston, MA 02114, US",POINT (-71.06214447122227 42.36409196453339),Mon-Fri:  6am-12am,https://www.parkme.com/lot/15286,"21 Lancaster St Boston, MA 02114, US ",https://www.parkme.com/lot/15286,,25.0,10.0,80.0,"West End, Dense",24.0,BOSTON,Dense,,373.56341049696096,373.56341049696096,2.5,29.33415430151465,25.0,,,10.0,373.56341049696096,373.56341049696096,29.33415430151465,25.0,11.702352327090159,10.0
2,"28 Ash St Boston, MA 02111, US",POINT (-71.06336272739831 42.348688564132296),Mon-Sun:  24 Hours,https://www.parkme.com/lot/32124,"28 Ash St Boston, MA 02111, US ",https://www.parkme.com/lot/32124,,23.0,10.0,23.0,"Chinatown, Dense",77.0,BOSTON,Dense,,343.67833765720405,343.67833765720405,2.3,29.33415430151465,23.0,,,10.0,343.67833765720405,343.67833765720405,29.33415430151465,23.0,10.766164140922944,10.0
3,"33 Essex St Boston, MA 02111, US",POINT (-71.0559116604427 42.3526730792735),Mon-Fri:  6am-2am,https://www.parkme.com/lot/15268,"33 Essex St Boston, MA 02111, US ",https://www.parkme.com/lot/15268,,30.0,10.0,27.0,"Downtown, Dense",19.0,BOSTON,Dense,,448.2760925963531,448.2760925963531,3.0,29.33415430151465,30.0,,,10.0,448.2760925963531,448.2760925963531,29.33415430151465,30.0,14.04282279250819,10.0
4,"47 Lagrange St Boston, MA 02116, US",POINT (-71.06408538411128 42.351723241553096),Mon-Sun:  24 Hours,https://www.parkme.com/lot/24171,"47 Lagrange St Boston, MA 02116, US ",https://www.parkme.com/lot/24171,,25.0,10.0,27.0,"Downtown, Dense",19.0,BOSTON,Dense,,373.56341049696096,373.56341049696096,2.5,29.33415430151465,25.0,,,10.0,373.56341049696096,373.56341049696096,29.33415430151465,25.0,11.702352327090159,10.0
5,"78 Harrison Ave Boston, MA 02111, US",POINT (-71.06124797968972 42.350896081104146),Mon-Sun:  6am-12am,https://www.parkme.com/lot/32123,"78 Harrison Ave Boston, MA 02111, US ",https://www.parkme.com/lot/32123,,25.0,10.0,23.0,"Chinatown, Dense",77.0,BOSTON,Dense,,373.56341049696096,373.56341049696096,2.5,29.33415430151465,25.0,,,10.0,373.56341049696096,373.56341049696096,29.33415430151465,25.0,11.702352327090159,10.0
6,"290 Commercial Street Boston, MA 02109, US",POINT (-71.05147787696619 42.364664465238),Mon-Sun:  24 Hours,https://www.parkme.com/lot/15225/290-commercial-street?entry-date=2022-01-24T13:33&duration=60,"290 Commercial Street Boston, MA 02109, US ",https://www.parkme.com/lot/15225/290-commercial-street?entry-date=2022-01-24T13:33&duration=60,,27.0,12.0,56.0,"North End, Dense",11.0,BOSTON,Dense,,403.44848333671786,403.44848333671786,2.25,35.200985161817584,27.0,,,12.0,403.44848333671786,403.44848333671786,35.200985161817584,27.0,12.638540513257372,12.0
7,"11 Stillings St Boston, MA 02210, US",POINT (-71.04717106407276 42.35029815375502),Monthly:  $150-$480,https://www.parkme.com/lot/32201/stillings-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60,"11 Stillings St Boston, MA 02210, US ",https://www.parkme.com/lot/32201/stillings-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60,480.0,25.0,12.0,64.0,"South Boston Waterfront, Dense",144.0,BOSTON,Dense,19.2,373.56341049696096,480.0,2.0833333333333335,35.200985161817584,25.0,40.0,15.036614826732269,12.0,373.56341049696096,480.0,35.200985161817584,25.0,15.036614826732269,12.0
8,"16 Charles St Boston, MA 02108, US",POINT (-71.0682582071434 42.35431993332753),Monthly:  $150-$400,https://www.parkme.com/lot/32172,"16 Charles St Boston, MA 02108, US ",https://www.parkme.com/lot/32172,400.0,28.0,10.0,12.0,"Beacon Hill, Dense",30.0,BOSTON,Dense,14.285714285714286,418.3910197565963,400.0,2.8,29.33415430151465,28.0,40.0,12.530512355610224,10.0,418.3910197565963,400.0,29.33415430151465,28.0,12.530512355610224,10.0
9,"40 Beach St Boston, MA 02111, US",POINT (-71.06159106555928 42.351648166849756),Monthly:  $165-$335,https://www.parkme.com/lot/75578/40-beach-st?entry-date=2022-01-24T13:33&duration=60,"40 Beach St Boston, MA 02111, US ",https://www.parkme.com/lot/75578/40-beach-st?entry-date=2022-01-24T13:33&duration=60,335.0,28.0,12.0,23.0,"Chinatown, Dense",77.0,BOSTON,Dense,11.964285714285714,418.3910197565963,335.0,2.3333333333333335,35.200985161817584,28.0,27.916666666666668,10.494304097823562,12.0,418.3910197565963,335.0,35.200985161817584,28.0,10.494304097823562,12.0
10,"98 Sudbury St Boston, MA 02108, US",POINT (-71.05774699179592 42.3625181937922),Mon-Sun:  24 Hours,https://www.parkme.com/lot/52850,"98 Sudbury St Boston, MA 02108, US ",https://www.parkme.com/lot/52850,,33.0,10.0,27.0,"Downtown, Dense",19.0,BOSTON,Dense,,493.10370185598845,493.10370185598845,3.3,29.33415430151465,33.0,,,10.0,493.10370185598845,493.10370185598845,29.33415430151465,33.0,15.447105071759008,10.0
11,"Nassau St Boston, MA 02111, US",POINT (-71.06291212127682 42.34866466028671),Mon-Fri:  5:45am-6pm,https://www.parkme.com/lot/197421,"Nassau St Boston, MA 02111, US ",https://www.parkme.com/lot/197421,,29.0,11.0,23.0,"Chinatown, Dense",77.0,BOSTON,Dense,,433.3335561764747,433.3335561764747,2.6363636363636362,32.267569731666114,29.0,,,11.0,433.3335561764747,433.3335561764747,32.267569731666114,29.0,13.574728699424584,11.0
